evento,valor,tipo,mes_ano,fonte,Saldo Anterior (R$),Débitos (R$),Créditos (R$)
Pg.serv.limp.,3785.0,DESPESA,2022-08,XLSX,,,
Pg.fgts,280.37,DESPESA,2022-08,XLSX,,,
Pg.serv.portaria,16660.0,DESPESA,2022-08,XLSX,,,
Pg.síndico Prof.,3500.0,DESPESA,2022-08,XLSX,,,
Pg.dissídio Empregador/2022,120.0,DESPESA,2022-08,XLSX,,,
Pg.adto.salário,300.0,DESPESA,2022-08,XLSX,,,
Pg.pis/Cofins/Csll,283.18,DESPESA,2022-08,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1768.73,DESPESA,2022-08,XLSX,,,
Pg.pis,35.05,DESPESA,2022-08,XLSX,,,
Pg.secovimed,182.45,DESPESA,2022-08,XLSX,,,
Pg.vale Transporte,1386.2,DESPESA,2022-08,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2022-08,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2022-08,XLSX,,,
Pg.vale Refeição/Alimentação,200.0,DESPESA,2022-08,XLSX,,,
Pg.serv.prestados,2744.0,DESPESA,2022-08,XLSX,,,
Pg.seg.vida Func.08/2022,252.03,DESPESA,2022-08,XLSX,,,
Pg.salário,1254.57,DESPESA,2022-08,XLSX,,,
Pg.folha Func.bco.,18.0,DESPESA,2022-08,XLSX,,,
Água,7788.99,DESPESA,2022-08,XLSX,,,
Pg.ceee,1942.2,DESPESA,2022-08,XLSX,,,
Pg.vistoria Hidráulica,1176.0,DESPESA,2022-08,XLSX,,,
Peças Elevador,1975.67,DESPESA,2022-08,XLSX,,,
Pg.manut.elevador,840.0,DESPESA,2022-08,XLSX,,,
Pg.pintura,1470.0,DESPESA,2022-08,XLSX,,,
Pg.materiais,1875.0,DESPESA,2022-08,XLSX,,,
Pg.sacos Lixo,929.69,DESPESA,2022-08,XLSX,,,
Pg.issqn,758.1,DESPESA,2022-08,XLSX,,,
Pg.transações Bco.ted/Doc,40.5,DESPESA,2022-08,XLSX,,,
Pg.correio Conv.assemb.c/Ar,408.75,DESPESA,2022-08,XLSX,,,
Pg.declaração Pmpa/Issqndec,29.0,DESPESA,2022-08,XLSX,,,
Pg.emissão Darf/Impostos,35.0,DESPESA,2022-08,XLSX,,,
Retirada P/Posterior Acerto,1750.0,DESPESA,2022-08,XLSX,,,
Pg.impressões/Fotoc.,84.0,DESPESA,2022-08,XLSX,,,
Pg.remessa Doctos.,177.2,DESPESA,2022-08,XLSX,,,
Pg.efd-Reinf/E-Social,27.0,DESPESA,2022-08,XLSX,,,
Pg.tarifa Banco Cobrança,549.0,DESPESA,2022-08,XLSX,,,
Pg.seguro Incêndio,981.25,DESPESA,2022-08,XLSX,,,
S/Déb.,50057.09,DESPESA,2022-08,XLSX,,,
Subtotal,110275.18,DESPESA,2022-08,XLSX,,,
Outros Eventos,62414.01,RECEITA,2022-09,XLSX,,,
Fundo Obras,3578.67,RECEITA,2022-09,XLSX,,,
Rec.condomínio,55895.34,RECEITA,2022-09,XLSX,,,
Rec.alug.depósito,80.0,RECEITA,2022-09,XLSX,,,
Rec.cond.estacionamento,720.0,RECEITA,2022-09,XLSX,,,
Rec.taxa Uso Box,390.0,RECEITA,2022-09,XLSX,,,
Rec.devolução Retirada,1750.0,RECEITA,2022-09,XLSX,,,
Rec. Multa,101.09,RECEITA,2022-09,XLSX,,,
Rec.multa+C.m.+Jrs.,62.05,RECEITA,2022-09,XLSX,,,
Subtotal,62577.15,RECEITA,2022-09,XLSX,,,
Pg.fgts,326.19,DESPESA,2022-09,XLSX,,,
Pg.serv.limp.,4606.0,DESPESA,2022-09,XLSX,,,
Pg.serv.portaria,16660.0,DESPESA,2022-09,XLSX,,,
