evento,valor,tipo,mes_ano,macro_categoria
 Pg.ceee ,1636.22,DESPESA,2022-11,Utilidades
 Pg.equipamentos ,15503.0,DESPESA,2022-11,Outros
 Pg.manut.elevador ,798.0,DESPESA,2022-11,Manutenção
 Peças Elevador ,2575.13,DESPESA,2022-11,Manutenção
 Pg.reforma ,6078.11,DESPESA,2022-11,Manutenção
 Pg.coluna Água ,2600.0,DESPESA,2022-11,Outros
 Pg.1º Parc.13º Sal. ,897.84,DESPESA,2022-11,Pessoal
 Pg.materiais ,697.85,DESPESA,2022-11,Outros
 Pg.mat.limpeza ,929.2,DESPESA,2022-11,Utilidades
 Pg.issqn ,776.89,DESPESA,2022-11,Taxas e Impostos
 Pg.transações Bco.ted/Doc ,27.0,DESPESA,2022-11,Taxas e Impostos
 Pg.tarifa Banco Cobrança ,549.0,DESPESA,2022-11,Administração
 Pg.emissão Darf/Impostos ,35.0,DESPESA,2022-11,Pessoal
 Pg.declaração Pmpa/Issqndec ,29.0,DESPESA,2022-11,Taxas e Impostos
 Pg.remessa Doctos. ,177.2,DESPESA,2022-11,Administração
 Pg.efd-Reinf/E-Social ,27.0,DESPESA,2022-11,Pessoal
 Pg.material ,870.03,DESPESA,2022-11,Manutenção
 Pg.vale Refeição/Alimentação ,200.0,DESPESA,2022-11,Pessoal
 Fundo Obras ,3410.18,RECEITA,2022-11,Fundos
 Pg.salário ,2581.46,DESPESA,2022-11,Pessoal
 Pg.folha Func.bco. ,27.0,DESPESA,2022-11,Administração
 Rec.condomínio ,53395.34,RECEITA,2022-11,Receitas Condominiais
 Rec.cond.estacionamento ,680.0,RECEITA,2022-11,Receitas Condominiais
 Rec.alug.depósito ,70.0,RECEITA,2022-11,Fundos
 Rec.taxa Uso Box ,380.0,RECEITA,2022-11,Fundos
 Rec. Multa ,44.0,RECEITA,2022-11,Receitas Condominiais
 Rec.multa+C.m.+Jrs. ,31.07,RECEITA,2022-11,Receitas Condominiais
 13º Salario ,2277.5,RECEITA,2022-11,Pessoal
 Pg.serv.portaria ,16660.0,DESPESA,2022-11,Utilidades
 Rec.devolução ,1000.0,RECEITA,2022-11,Receitas Condominiais
 Pg.fgts ,293.05,DESPESA,2022-11,Pessoal
 Pg.adto.salário ,600.0,DESPESA,2022-11,Pessoal
 Pg.pis/Cofins/Csll ,61.38,DESPESA,2022-11,Pessoal
 Pg.darf Inss(E-Social/Reinf) ,1227.39,DESPESA,2022-11,Pessoal
 Pg.pis ,36.63,DESPESA,2022-11,Pessoal
 Pg.secovimed ,160.05,DESPESA,2022-11,Taxas e Impostos
 Pg.vale Transporte ,1558.4,DESPESA,2022-11,Pessoal
 Taxa Auxiliar Administracao ,1096.2,DESPESA,2022-11,Administração
 Reemb.mat.expediente ,109.62,DESPESA,2022-11,Administração
 Pg.serv.limp. ,4606.0,DESPESA,2022-11,Utilidades
 Pg.desentupidora ,3498.06,DESPESA,2022-12,Outros
 Pg.materiais ,1418.72,DESPESA,2022-12,Outros
 Pg.manutenção ,1880.0,DESPESA,2022-12,Manutenção
 Pg.desinsetização ,1287.99,DESPESA,2022-12,Outros
 Água ,10334.16,DESPESA,2022-12,Outros
 Pg.equipamentos ,15504.0,DESPESA,2022-12,Outros
 Peças Elevador ,3416.74,DESPESA,2022-12,Manutenção
 Pg.ceee ,1792.58,DESPESA,2022-12,Utilidades
 Pg.impermeabilização ,3264.48,DESPESA,2022-12,Outros
 Pg.manut.elevador ,802.12,DESPESA,2022-12,Manutenção
 Pg.material ,886.7,DESPESA,2022-12,Manutenção
 Pg.remessa Doctos. ,177.2,DESPESA,2022-12,Administração
 Pg.issqn ,1624.43,DESPESA,2022-12,Taxas e Impostos
 Pg.transações Bco.ted/Doc ,16.2,DESPESA,2022-12,Taxas e Impostos
 Pg.recarga Celular ,50.0,DESPESA,2022-12,Outros
 Pg.locação ,300.0,DESPESA,2022-12,Outros
