mes_ano,valor,historico,source
2025-08,324.94,REC.CONDOMÍNIO,xls
2025-08,316.1,REC.CONDOMÍNIO,xls
2025-08,332.64,REC.CONDOMÍNIO,xls
2025-08,337.98,REC.CONDOMÍNIO,xls
2025-08,6038.16,REC.CONDOMÍNIO,xls
2025-08,18678.25,PG.SERV.PORTARIA,xls
2025-08,2100.0,PG.MAT.PINTURA,xls
2025-08,5147.3,PG.SERV.LIMP.,xls
2025-08,337.98,REC.CONDOMÍNIO,xls
2025-08,734.9,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,337.98,REC.CONDOMÍNIO,xls
2025-08,326.14,REC.CONDOMÍNIO,xls
2025-08,734.9,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,337.98,REC.CONDOMÍNIO,xls
2025-08,413.07,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,402.76,REC.CONDOMÍNIO,xls
2025-08,14.77,REC. MULTA,xls
2025-08,445.63,REC.CONDOMÍNIO,xls
2025-08,29.61,REC.MULTA+C.M.+JRS.,xls
2025-08,395.96,REC.CONDOMÍNIO,xls
2025-08,21.68,REC.MULTA+C.M.+JRS.,xls
2025-08,396.79,REC.CONDOMÍNIO,xls
2025-08,6.49,REC. MULTA,xls
2025-08,322.56,REC.CONDOMÍNIO,xls
2025-08,238.2,PG.SINDEF DISSÍDIO-DESC.FL.PGTº.,xls
2025-08,300.0,PG.ADTO.SALÁRIO,xls
2025-08,300.0,PG.ADTO.SALÁRIO,xls
2025-08,9044.28,ÁGUA/ESGOTO,xls
2025-08,284.2,PG.CONS.PORTÃO,xls
2025-08,889.0,PG.MATERIAL,xls
2025-08,147.83,PG.MATERIAL,xls
2025-08,308.33,PG.REP.ELEVADOR,xls
2025-08,311.9,PG.MANUTENÇÃO,xls
2025-08,585.06,PG.FGTS,xls
2025-08,122.97,PG. INTERNET,xls
2025-08,80.0,PG.ELAB-REINF/E-SOCIAL/IMPOSTOS,xls
2025-08,6041.31,PG.DARF INSS(E-SOCIAL/REINF),xls
2025-08,357.31,PG.DISSÍDIO EMPREGADOR/2025,xls
2025-08,208.37,PG.PCMSO SECOVIMED,xls
2025-08,1378.49,PG.VALE TRANSPORTE,xls
2025-08,641.2,PG.MAT.LIMPEZA,xls
2025-08,2600.0,PG.MANUT.PORTÃO,xls
2025-08,200.0,PG.VALE REFEIÇÃO/ALIMENTAÇÃO,xls
2025-08,242.6,PG.SECOVIMED,xls
2025-08,118.94,REEMB.MAT.EXPEDIENTE,xls
2025-08,1189.37,TAXA AUXILIAR ADMINISTRACAO,xls
2025-08,6.6,REC. MULTA,xls
2025-08,324.94,REC.CONDOMÍNIO,xls
2025-08,63.33,PG.CEEE,xls
2025-08,955.16,PG.CEEE,xls
2025-08,898.63,PG.CEEE,xls
2025-08,147.0,PG.REMESSA DOCTOS.,xls
2025-08,14.81,REC. MULTA,xls
2025-08,734.9,REC.CONDOMÍNIO,xls
2025-08,9.2,PG.REMESSA DOCTOS.,xls
2025-08,283.21,REC.CONDOMÍNIO,xls
2025-08,3200.0,PG.REFORMA,xls
2025-08,650.0,PG.REP.ELÉTRICO,xls
2025-08,56.7,PG.IMPRESSÕES/FOTOC.,xls
2025-08,227.04,PG.SEG.VIDA FUNC.08/2025,xls
2025-08,19.6,PG.FOLHA FUNC.BCO.,xls
2025-08,644.0,PG.TARIFA BANCO COBRANÇA,xls
2025-08,1324.99,PG.SALÁRIO,xls
2025-08,1592.7,PG.SALÁRIO,xls
2025-08,6.8,REC. MULTA,xls
2025-08,337.98,REC.CONDOMÍNIO,xls
2025-08,12.16,REC. MULTA,xls
2025-08,316.1,REC.CONDOMÍNIO,xls
2025-08,312.59,REC.CONDOMÍNIO,xls
2025-08,283.21,REC.CONDOMÍNIO,xls
2025-08,89.0,PG.MATERIAL,xls
2025-08,20.81,VALOR,xls
2025-08,890.26,VALOR,xls
2025-08,183.65,REC.ACORDO,xls
2025-08,316.35,REC.ACORDO,xls
2025-08,80.0,PG.ACORDO,xls
2025-08,2.26,DIF.SALARIAL,xls
2025-08,2.32,DIF.SALARIAL,xls
2025-08,2.32,DIF.SALARIAL,xls
2025-08,3.22,DIF.SALARIAL,xls
2025-08,3.61,DIF.SALARIAL,xls
2025-08,3.54,DIF.SALARIAL,xls
2025-08,3.54,DIF.SALARIAL,xls
2025-08,20.81,VALOR,xls
2025-08,40.35,REC.CH.EXTRA FÉRIAS,xls
2025-08,14.94,REC.CH.EXTRA FÉRIAS,xls
2025-08,16.74,REC.CH.EXTRA FÉRIAS,xls
2025-08,14.94,REC.CH.EXTRA FÉRIAS,xls
2025-08,890.26,VALOR,xls
2025-08,1.98,FUNDO OBRAS,xls
2025-08,1.98,FUNDO OBRAS,xls
2025-08,2.02,FUNDO OBRAS,xls
2025-08,3.17,FUNDO OBRAS,xls
2025-08,3.32,FUNDO OBRAS,xls
2025-08,2.06,FUNDO OBRAS,xls
2025-08,2.07,FUNDO OBRAS,xls
2025-08,2.83,FUNDO OBRAS,xls
2025-08,6.77,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,24.84,TELHADO,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,24.84,TELHADO,xls
2025-08,3.39,FUNDO OBRAS,xls
2025-08,2.83,FUNDO OBRAS,xls
2025-08,3.32,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.83,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.82,FUNDO OBRAS,xls
2025-08,24.84,TELHADO,xls
2025-08,3.17,FUNDO OBRAS,xls
2025-08,2.12,FUNDO OBRAS,xls
2025-08,2.82,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.82,FUNDO OBRAS,xls
2025-08,2.02,FUNDO OBRAS,xls
2025-08,2.82,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,2.17,FUNDO OBRAS,xls
2025-08,2.83,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.06,FUNDO OBRAS,xls
2025-08,2.06,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.12,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,5.61,FUNDO OBRAS,xls
2025-08,3.55,FUNDO OBRAS,xls
2025-08,2.28,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.06,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.07,FUNDO OBRAS,xls
2025-08,3.17,FUNDO OBRAS,xls
2025-08,5.61,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,4.48,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,2.02,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.02,FUNDO OBRAS,xls
2025-08,3.17,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,5.61,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,2.83,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,7.0,FUNDO OBRAS,xls
2025-08,2.17,FUNDO OBRAS,xls
2025-08,2436.44,PG.REFORMA,xls
2025-08,2.34,FUNDO OBRAS,xls
2025-08,2.53,FUNDO OBRAS,xls
2025-08,2.12,FUNDO OBRAS,xls
2025-08,2.02,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,2.83,FUNDO OBRAS,xls
2025-08,6.77,FUNDO OBRAS,xls
2025-08,2.07,FUNDO OBRAS,xls
2025-08,2.12,FUNDO OBRAS,xls
2025-08,4.48,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,2.83,FUNDO OBRAS,xls
2025-08,5.61,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.06,FUNDO OBRAS,xls
2025-08,2.12,FUNDO OBRAS,xls
2025-08,3.32,FUNDO OBRAS,xls
2025-08,3.32,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,2.83,FUNDO OBRAS,xls
2025-08,2.07,FUNDO OBRAS,xls
2025-08,2.12,FUNDO OBRAS,xls
2025-08,4.48,FUNDO OBRAS,xls
2025-08,2.02,FUNDO OBRAS,xls
2025-08,5.61,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,3.17,FUNDO OBRAS,xls
2025-08,2.06,FUNDO OBRAS,xls
2025-08,1.98,FUNDO OBRAS,xls
2025-08,2.12,FUNDO OBRAS,xls
2025-08,3.32,FUNDO OBRAS,xls
2025-08,2.82,FUNDO OBRAS,xls
2025-08,5.61,FUNDO OBRAS,xls
2025-08,1.98,FUNDO OBRAS,xls
2025-08,2.07,FUNDO OBRAS,xls
2025-08,2.12,FUNDO OBRAS,xls
2025-08,2.02,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,5.61,FUNDO OBRAS,xls
2025-08,2.82,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,3.17,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,1.98,FUNDO OBRAS,xls
2025-08,2.07,FUNDO OBRAS,xls
2025-08,2.12,FUNDO OBRAS,xls
2025-08,3.32,FUNDO OBRAS,xls
2025-08,2.02,FUNDO OBRAS,xls
2025-08,5.61,FUNDO OBRAS,xls
2025-08,3.85,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,3.17,FUNDO OBRAS,xls
2025-08,2.07,FUNDO OBRAS,xls
2025-08,2.17,FUNDO OBRAS,xls
2025-08,2.02,FUNDO OBRAS,xls
2025-08,2.83,FUNDO OBRAS,xls
2025-08,7.08,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.06,FUNDO OBRAS,xls
