mes_ano,evento,valor,tipo,source,type
2025-08,PG.MANUTENÇÃO,311.9,,xls_fill,gap_fill
2025-08,PG.FGTS,585.06,,xls_fill,gap_fill
2025-08,PG. INTERNET,122.97,,xls_fill,gap_fill
2025-08,PG.ELAB-REINF/E-SOCIAL/IMPOSTOS,80.0,,xls_fill,gap_fill
2025-08,PG.DARF INSS(E-SOCIAL/REINF),6041.31,,xls_fill,gap_fill
2025-08,PG.DISSÍDIO EMPREGADOR/2025,357.31,,xls_fill,gap_fill
2025-08,PG.VALE TRANSPORTE,1378.49,,xls_fill,gap_fill
2025-08,PG.MAT.LIMPEZA,641.2,,xls_fill,gap_fill
2025-08,PG.VALE REFEIÇÃO/ALIMENTAÇÃO,200.0,,xls_fill,gap_fill
2025-08,PG.SECOVIMED,242.6,,xls_fill,gap_fill
2025-08,REEMB.MAT.EXPEDIENTE,118.94,,xls_fill,gap_fill
2025-08,TAXA AUXILIAR ADMINISTRACAO,1189.37,,xls_fill,gap_fill
2025-08,REC. MULTA,6.6,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,324.94,,xls_fill,gap_fill
2025-08,PG.CEEE,63.33,,xls_fill,gap_fill
2025-08,PG.CEEE,955.16,,xls_fill,gap_fill
2025-08,PG.CEEE,898.63,,xls_fill,gap_fill
2025-08,PG.REMESSA DOCTOS.,147.0,,xls_fill,gap_fill
2025-08,REC. MULTA,14.81,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,734.9,,xls_fill,gap_fill
2025-08,PG.REMESSA DOCTOS.,9.2,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,283.21,,xls_fill,gap_fill
2025-08,PG.REFORMA,3200.0,,xls_fill,gap_fill
2025-08,PG.IMPRESSÕES/FOTOC.,56.7,,xls_fill,gap_fill
2025-08,PG.SEG.VIDA FUNC.08/2025,227.04,,xls_fill,gap_fill
2025-08,PG.FOLHA FUNC.BCO.,19.6,,xls_fill,gap_fill
2025-08,PG.TARIFA BANCO COBRANÇA,644.0,,xls_fill,gap_fill
2025-08,PG.SALÁRIO,1324.99,,xls_fill,gap_fill
2025-08,PG.SALÁRIO,1592.7,,xls_fill,gap_fill
2025-08,REC. MULTA,6.8,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,337.98,,xls_fill,gap_fill
2025-08,REC. MULTA,12.16,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,316.1,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,312.59,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,283.21,,xls_fill,gap_fill
2025-08,PG.MATERIAL,89.0,,xls_fill,gap_fill
2025-08,VALOR,20.81,,xls_fill,gap_fill
2025-08,VALOR,890.26,,xls_fill,gap_fill
2025-08,REC.ACORDO,183.65,,xls_fill,gap_fill
2025-08,REC.ACORDO,316.35,,xls_fill,gap_fill
2025-08,PG.ACORDO,80.0,,xls_fill,gap_fill
2025-08,DIF.SALARIAL,2.26,,xls_fill,gap_fill
2025-08,DIF.SALARIAL,2.32,,xls_fill,gap_fill
2025-08,DIF.SALARIAL,2.32,,xls_fill,gap_fill
2025-08,DIF.SALARIAL,3.22,,xls_fill,gap_fill
2025-08,DIF.SALARIAL,3.61,,xls_fill,gap_fill
2025-08,DIF.SALARIAL,3.54,,xls_fill,gap_fill
2025-08,DIF.SALARIAL,3.54,,xls_fill,gap_fill
2025-08,VALOR,20.81,,xls_fill,gap_fill
2025-08,REC.CH.EXTRA FÉRIAS,40.35,,xls_fill,gap_fill
2025-08,REC.CH.EXTRA FÉRIAS,14.94,,xls_fill,gap_fill
2025-08,REC.CH.EXTRA FÉRIAS,16.74,,xls_fill,gap_fill
2025-08,REC.CH.EXTRA FÉRIAS,14.94,,xls_fill,gap_fill
2025-08,VALOR,890.26,,xls_fill,gap_fill
